plate,price
BSR 6666,15800.0
PRB 3,88000.0
QRW 28,23800.0
BSL1001,4500.0
VMB 36,9800.0
FH 3133,4800.0
WJ 111,75800.0
BQS777,38800.0
QM 33 T,18800.0
JQX 8558,4800.0
VMV 4707,1000.0
KGF 8899,3300.0
JYU 805,4300.0
VMV 3576,1000.0
VQA 626,3800.0
NEB 33,33800.0
VMV 1412,1000.0
VMR 9991,2800.0
JJV6666,25800.0
QRV 9,122888.0
DD9319,28800.0
BSN 6,93800.0
MCM 999,42800.0
VQL 19,22800.0
VQV 737,5800.0
RL 2555,7900.0
MAY 36,59800.0
VNW90,9800.0
BRR 15,23800.0
SU 73 Q,8800.0
MU 8838,5800.0
FH 8881,4800.0
VQH 6868,4800.0
FH 779,8800.0
RBE 36,12800.0
AND 112,4800.0
VMY 939,4800.0
JYA 30,10800.0
VQK 98,14800.0
VHF 199,3000.0
VNP 3899,1300.0
R 1010,63800.0
PRP 9339,2800.0
A 6446 A,6800.0
WMK 123,5500.0
WDR 22,24800.0
VQS 833,3300.0
APF 16,16800.0
APG 8866,3800.0
VQS 6868,5300.0
VQL 8118,4800.0
BL 10,138000.0
KB6366,7900.0
VQP 3399,3800.0
VQT 3388,4200.0
R 1987,29800.0
VMM 8877,3000.0
WVX80,11800.0
VMG 1208,1000.0
APK 883,3300.0
LC 101,29800.0
VMV 2557,1000.0
JYH 888,21800.0
RB 18,108000.0
JYP 99,52800.0
QS 55,128000.0
NY 1010,19800.0
VCQ 5,79800.0
VQJ 900,4500.0
SU 1111 Q,8300.0
VQA 8882,3800.0
BSR 1688,4300.0
VQU 9966,3800.0
MDU 67,6800.0
VMM 8804,1300.0
TAN3355,15000.0
BSQ 5,99800.0
QM9J,79999.0
VMV 5788,1000.0
JYU82,9800.0
AJE 71,6300.0
JQY 888,41800.0
UITM 9,112888.0
BSP 128,4800.0
JYU 711,3800.0
JSA 9229,1800.0
FG 2332,4500.0
VMV 2982,1000.0
VKD 2222,14800.0
QMJ 100,7800.0
VQJ 53,8300.0
DFP88,29800.0
PKW55,26888.0
AGB 88,38888.0
SJQ 86,12800.0
VMR62,8800.0
VQJ 757,3800.0
MR 662,10800.0
ADE 7,118000.0
VQD 9898,4300.0
BSS 168,16800.0
UTEM80,8888.0
NEH 168,8800.0
KGF 288,3800.0
VMV 709,1600.0
DFH 2888,4300.0
VNG 1331,2800.0
VG1,1485000.0
QM 67 U,7800.0
JYU 131,3800.0
VPD 1100,2500.0
VNT 52,8300.0
W6U,360700.0
VMV 7228,1300.0
ALD 92,9800.0
BST 118,9800.0
FH 277,7800.0
VMV 4663,1000.0
QP 81,49800.0
JYU 1000,4800.0
VMV 2526,1000.0
PRF 53,6800.0
WH 5,350000.0
VQU 138,4800.0
WVW 63,19800.0
VMV 1931,1000.0
BSA 8686,2800.0
VQG 38,13800.0
WA 93,59800.0
VQP 232,3800.0
BSU7777,10800.0
APF886,3800.0
VMM 9232,1300.0
BSP 1919,4300.0
VMV 2023,1000.0
VNR 8686,4300.0
TDG2266,3800.0
VR8668,5888.0
VQH 72,12800.0
VMV 1233,1300.0
VMM 7414,1300.0
VPY 323,4800.0
VQA 3888,4500.0
VMV 6811,1300.0
VMM 8994,1300.0
VNM 232,2800.0
APG 3113,3800.0
VHW 8777,1900.0
ANU 2628,2800.0
RBE1199,3800.0
DFF 9992,2300.0
BSA 2323,2800.0
JM 8800,16800.0
RB 72,53800.0
SMT 24,10800.0
VMV 7529,1000.0
TQ9995,4900.0
BNE 9449,2300.0
KBN 1,365888.0
VMV 1362,1000.0
VKU 8228,3800.0
VPT 8585,3800.0
MEC 12,23800.0
VPA 7007,3800.0
JYU 45,9800.0
QMK 68,16900.0
AFP 31,12900.0
KN 29,39800.0
SA 199 A,15800.0
RBE 78,8300.0
BSB 77,53800.0
VLX 1800,1300.0
JWT 86,47000.0
TDD 9999,42800.0
VPQ 8866,3800.0
JJD 18,53800.0
JYV90,9800.0
VMR 1228,2800.0
SWN 2020,3900.0
BSD 2223,2500.0
DFD 6611,4588.0
BQN 9889,2300.0
KGF 3333,8800.0
VMV 5071,1000.0
VHJ 8989,1580.0
SJR 711,3300.0
SUKOM 68,88000.0
SD 3 X,88800.0
WCM 85,14900.0
PJP 8,209800.0
JVX 6611,3388.0
QCV 13,19800.0
GM 5555,33800.0
TJ 995,11800.0
NEK 898,3800.0
VMM 8880,1900.0
VPT 1991,3800.0
KDX 4,39800.0
UC 44,38800.0
QRX 333,22800.0
BSD 616,2800.0
PPU9,198000.0
PSD 9000,3300.0
TDC 8,93888.0
VNT 8558,2800.0
VHN 13,17800.0
JJV 8888,39800.0
BSU 1212,5800.0
CFC 9889,5300.0
N23,318000.0
QAB 7 N,55888.0
MDW 48,7800.0
E 26,258800.0
VMV 1970,1000.0
VEC 229,2388.0
QM 17 U,13800.0
VFB 661,1600.0
GG 5,788000.0
PSD 2288,3300.0
VKY 2608,1000.0
QTJ 11,36800.0
BSU 63,14800.0
DX 30,58800.0
UM 64,29800.0
VMM 9355,1300.0
VMV 4098,1000.0
VMV 1892,1000.0
FG 2233,8800.0
APL 7777,15800.0
JWQ 138,5300.0
NEH 2828,6300.0
TDG2121,3800.0
KFQ 87,9800.0
WXU 88,42800.0
VPC 3636,2800.0
MC6Q,83000.0
PRX7777,13000.0
TDE 126,4300.0
VQK 8181,3800.0
DFP11,33800.0
BSN 69,13800.0
AMG 13,78800.0
APG 6363,4300.0
NT 881,6800.0
QM 35 T,38800.0
BQP 5,68000.0
VPD 8868,2300.0
MDU 65,6800.0
APD 218,3500.0
APG 8181,3800.0
RC 886,16800.0
VQU 318,3500.0
DFP 18,20800.0
DFP 11,39800.0
VPB 6611,2500.0
NEF 8888,20800.0
VMM 7913,1300.0
BSP 600,4300.0
JWD 6611,3388.0
MU831,7900.0
Q 53,188800.0
VMM 8113,1300.0
VLR 6626,1300.0
APG 40,7800.0
QCV 81,10800.0
VQG 8883,3800.0
WWK18,67600.0
APD 2828,5300.0
QDC 23,14800.0
VMM 8717,1300.0
VQV87,16800.0
VMV 8663,1300.0
SU 222 Q,14800.0
RBE 9911,3800.0
VQD 6000,4500.0
VMM 7708,1300.0
BSU 2266,3800.0
KA3333,42800.0
PKS 4,44800.0
APK 13,23800.0
VQB 8787,3800.0
VQH 990,3800.0
JYT881,1800.0
VQE 1,375888.0
VMV 8629,1000.0
VMV 2181,1000.0
BMW33,138000.0
DFB 3,98800.0
SJR 311,3300.0
VPB 3133,2300.0
VKY 2553,1000.0
RBE 98,13800.0
JYV500,5900.0
VMM 9144,1300.0
VN1,1485000.0
JFF 88,68800.0
VNJ 8,102888.0
SWN 36,13800.0
BSJ 881,2300.0
R128,51800.0
VMV 9752,1000.0
SJR 119,3300.0
VBK 18,16800.0
SMK 666,19900.0
SJR 993,2800.0
VMV 8913,1000.0
PPD 1,696888.0
PRR 3311,2500.0
APK23,12800.0
JYV 1188,4300.0
VQD 9999,21800.0
G 29 G,39800.0
TDG 2211,3800.0
KE 6788,7900.0
VPS 2233,4500.0
VMN 786,5800.0
D 1616,35800.0
VQF 7070,2800.0
DFP 68,12800.0
ALY61,9888.0
NEG 909,4300.0
SK9888E,2800.0
VQS17,13800.0
WNE 99,44800.0
SP 3333,40800.0
APK66,21800.0
JDM8,238000.0
SWN 1010,5500.0
BSU500,4300.0
CU 330,6800.0
KGF 20,9800.0
AD2228,9800.0
VMV 7686,1000.0
RBE 1133,3800.0
JYV 555,19900.0
SB 442 K,3900.0
MM 341,7800.0
VMM 9263,1300.0
BHT 2,118000.0
JVJ 9,302888.0
SJR 22,20300.0
VMK 2238,1200.0
PSD 666,14800.0
MU 955,10800.0
NEK 6000,3300.0
QBJ 27,10800.0
TU 88,209800.0
SU99Q,23800.0
VMV 3596,1000.0
VPD 31,16800.0
VMV 470,1300.0
VQT 6868,5500.0
WSD 7887,4900.0
VMV 9297,1000.0
PRQ 688,4800.0
CEN 28,22800.0
VMV 1308,1600.0
VLY 99,44800.0
TDF 13,18900.0
PSD 339,2900.0
VQD 177,3500.0
FFF 35,59800.0
BRY 9229,2800.0
VMV 1106,1600.0
VPC 32,11800.0
QM 63 U,12800.0
VMV 8861,1000.0
KGF 883,3300.0
NR111,50800.0
JX 67,73800.0
VMV 3061,1000.0
QS 11 V,24800.0
VKH 12,22800.0
VMV 170,1600.0
BSD 292,2800.0
VQS 55,39800.0
APD 9933,3500.0
K9319,38800.0
VMJ 37,9800.0
APK 91,8800.0
PSD 119,3300.0
JYS 797,5000.0
NEF 83,11800.0
BSU8181,3800.0
VMM 9323,1300.0
VMV 570,1600.0
VMW 3133,2500.0
VMV 5672,1000.0
APK 338,3300.0
KB 991,16800.0
APG 1717,3800.0
SJM 46,9800.0
TDB 8,116888.0
VQA 1118,4800.0
QDC 1111,11800.0
DFP 81,9300.0
KGF 998,3300.0
SMU 2727,4500.0
VMC 1800,1300.0
PHE 3,89800.0
VQS 19,19300.0
VMM 9161,1300.0
TDG7777,10800.0
VMM 8295,1300.0
PRR 767,2500.0
BSP 1221,3800.0
PQK 43,6800.0
QAA7E,49000.0
BPQ228,2800.0
BSU 8899,4900.0
VQU 2882,3800.0
VMV 6318,1000.0
DFP 39,8800.0
KGF 988,3800.0
VMV 6189,1000.0
BSL336,3500.0
MC 819,6600.0
SJR 26,17900.0
RBE 1199,3800.0
VQU 777,21800.0
VPB 7788,2500.0
APL35,8800.0
TDG8998,3800.0
VLD 501,1300.0
APD 178,3500.0
VMM 7494,1300.0
SJM 57,9800.0
VMV 3404,1000.0
VMM 8727,1300.0
VMV 6230,1000.0
KGF 866,3300.0
PSD 72,9800.0
APJ 88,31800.0
JUD 730,2200.0
APC 1717,3800.0
VQA 7373,3800.0
AJY 99,39800.0
VMS 2500,1000.0
SWD222,15800.0
DFB 888,138000.0
CL 505,16800.0
MP 9992,8900.0
Q 58,178000.0
A 9451 A,3000.0
VPB 7337,2500.0
SU 555 Q,8800.0
F72,268000.0
BSN 911,5800.0
APG 8383,3800.0
JJX 4449,4800.0
JBG 39,13900.0
KGD5,88999.0
MF 82,49800.0
QBJ 50,9900.0
VPS 1771,3800.0
VQJ 42,8800.0
VMV 5812,1000.0
VMV 1521,1000.0
WFR 88,39800.0
KGF 555,11300.0
CS8888,68800.0
RBA 26,16800.0
SP 3773,5500.0
RBA 20,12800.0
KFG 6,79800.0
VPD 7000,2500.0
EV 3366,6800.0
APC 373,3800.0
VMV 879,1600.0
TDG9898,3800.0
JXJ6668,5800.0
VKY 2332,2800.0
APD 600,3800.0
DFF 636,2800.0
A 44 A,218800.0
VKU 29,12800.0
RBE 20,13900.0
DT 4,259800.0
VPC 8288,2500.0
VMV 562,1600.0
APK26,10800.0
FH 1133,9800.0
SJR 53,7800.0
BSN 223,3500.0
VMV 1356,1000.0
PLG 19,28800.0
CFF 1668,6300.0
APB 9966,4300.0
SP 9191,9800.0
PQS 77,29800.0
APK 2288,3300.0
ADL 3,103800.0
MK 728,9700.0
BSD 9998,2800.0
VPF 211,2500.0
QRU 35,10800.0
VJQ 353,4800.0
WJH 80,8800.0
VMV 8584,1000.0
VQJ 9119,4300.0
APK 933,2900.0
ANU 7007,2800.0
VQU 1688,4300.0
BHF 9,128000.0
VMV 1498,1000.0
VPS 7117,3800.0
KGF 333,15300.0
VMB 3366,2800.0
VQT 668,5800.0
VQU6666,12800.0
UTM 81,16800.0
VAJ 5555,12800.0
VPN 388,5500.0
QQ 9398,9800.0
VMV 7002,1300.0
W58R,18800.0
APK 83,8800.0
VQU 6666,12800.0
VMV 2024,1000.0
VQU 9998,4300.0
APD 711,3800.0
BSS 111,32800.0
APG 8686,4300.0
RBE 79,9900.0
JVK32,9800.0
VQF 1818,6300.0
VQU 78,11800.0
KGF 400,3300.0
VMM 8771,1300.0
QBJ1111,9800.0
VMY 366,2500.0
VPG 2,118000.0
VQU 7117,2500.0
JYA 999,28800.0
VQR 8338,4800.0
APG 822,3500.0
SWR 666,12300.0
VMV 4949,2500.0
ANP600,2900.0
BSU 70,8800.0
SJ 717,6800.0
VMV 413,1300.0
NEK86,12800.0
VQA 7,98800.0
JVW 6,139800.0
WEF 6,89800.0
VNX 8886,3800.0
NEH 118,9800.0
VQB 996,5500.0
BSU 3003,3800.0
VQM 7373,2500.0
KGF 966,3300.0
VMV 1582,1000.0
DEF 6611,3888.0
BCS 4,48800.0
BSU 787,3800.0
TDG18,17800.0
VPN 899,5800.0
VA 338,16800.0
VQ99,199000.0
FH 3311,8800.0
VMV 7559,1000.0
VPA 3003,2500.0
SP 3323,5500.0
APD 5000,3800.0
DFF 9339,2800.0
RAN 2,138800.0
CCA 11,58800.0
APG 2223,3500.0
VPW 63,14900.0
SJR 116,2900.0
RBD 93,11800.0
PRF 50,8800.0
VCV 4444,7500.0
BSL989,3800.0
RBE 9339,3800.0
VQA 959,3800.0
VQB 6699,3800.0
APK 2828,3300.0
JJB 11,138800.0
FH 766,9999.0
JYV 199,3800.0
BSD 8383,2800.0
VPT 5005,3800.0
VQK 238,3800.0
JW 3338,16800.0
VPD 1551,2500.0
JYU 8889,3800.0
JRH 838,4300.0
APB 26,14800.0
VQV 39,17800.0
VIP 3149,3000.0
JYU 6000,3800.0
VNT 83,10300.0
CFD 118,8800.0
VQT 9999,16800.0
APC 969,3800.0
VMV 2398,1000.0
APK 1118,3800.0
VQQ 32,15800.0
VMW 977,1600.0
VPW 3366,3000.0
APK 116,2900.0
VMV 4700,1000.0
VQA 66,30800.0
D52,218000.0
